name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Mathieu Flamini,76.4,69.2,57.2,69.2,75.2,70.2,69.2,64.2,55.2,70.2,74.2,71.6,70.6,68.6,76.2,80.0,77.2,69.2,81.0,73.0,68.2,85.6,79.6,70.6,67.2,60.2,79.0,78.2,76.2,6.2,11.2,5.2,5.2,6.2,mid
Mesut Oezil,86.33,81.0,74.0,54.0,87.33,77.0,86.33,84.0,79.0,80.0,90.33,77.0,70.0,84.0,87.0,74.0,70.0,52.67,64.0,55.33,75.0,54.0,24.0,81.67,92.0,76.0,22.0,22.0,23.0,6.0,14.0,10.0,6.0,14.0,mid
Santi Cazorla,84.6,83.8,77.0,54.0,86.0,67.0,87.0,86.0,78.0,84.0,86.0,79.0,68.0,86.0,85.0,91.0,78.0,71.0,66.4,60.0,82.0,56.8,45.2,82.0,85.0,80.0,38.8,45.8,37.2,6.0,9.0,5.0,7.0,15.0,mid
Alexis Sanchez,85.12,75.88,84.75,60.0,79.5,78.0,88.0,77.5,76.25,73.0,86.75,89.62,85.0,91.0,83.5,86.75,81.5,75.0,86.0,64.0,80.0,76.5,42.0,83.5,78.0,74.5,30.0,39.0,35.0,10.0,10.0,15.0,12.0,13.0,mid
Aaron Ramsey,82.0,74.0,75.0,58.0,84.0,81.0,81.0,64.0,70.0,82.0,82.0,72.0,68.5,74.0,81.0,75.0,81.0,63.0,93.0,68.5,78.0,75.0,69.5,84.0,81.0,76.0,65.0,75.0,65.0,6.0,11.0,5.0,10.0,8.0,mid
Jack Wilshere,81.0,73.67,64.0,58.0,84.0,64.0,84.0,80.0,72.0,83.0,84.0,77.67,74.67,83.0,80.0,87.0,75.0,67.0,82.0,66.0,73.0,83.0,61.0,80.0,85.0,65.0,61.0,63.0,65.0,6.0,15.0,15.0,9.0,11.0,mid
Francis Coquelin,74.58,59.25,44.25,48.83,77.25,42.25,72.5,54.25,40.25,71.08,77.08,70.75,68.75,76.0,71.92,80.08,70.25,69.25,78.25,69.58,58.25,79.33,76.58,63.25,72.33,51.25,71.08,76.83,74.33,8.25,8.25,7.25,9.25,14.25,mid
Alex Oxlade-Chamberlain,78.5,72.5,69.5,33.5,76.5,58.5,85.5,66.5,52.5,71.75,82.5,89.0,89.0,84.0,74.5,88.0,74.5,65.0,75.0,68.5,76.5,65.5,40.5,73.5,70.5,68.5,36.5,47.5,43.5,15.5,8.5,5.5,8.5,8.5,mid
Joel Campbell,75.25,76.0,64.5,51.5,73.75,63.5,78.5,66.5,68.5,67.5,75.5,89.5,87.0,85.0,71.5,75.0,83.5,83.12,73.0,75.0,73.5,63.5,44.5,74.5,66.75,74.5,37.5,32.5,26.5,7.5,14.5,13.5,14.5,13.5,mid
Mohamed Elneny,70.17,67.5,65.5,51.5,72.5,38.5,67.5,61.5,60.5,70.33,72.5,63.0,65.5,71.5,61.0,65.0,73.0,71.0,92.0,70.0,72.5,71.5,65.0,62.5,69.83,61.5,66.5,69.0,65.5,6.5,14.5,14.5,11.5,5.5,mid
Calum Chambers,72.0,69.6,46.6,64.6,72.6,48.6,70.6,58.6,48.6,64.6,73.8,64.0,69.2,66.0,64.6,61.0,51.6,67.0,73.0,69.6,55.6,83.4,69.2,53.6,53.6,53.6,73.4,77.4,75.4,10.6,13.6,11.6,6.6,11.6,mid
Alex Iwobi,55.0,35.0,53.0,42.0,43.0,48.0,64.0,47.0,40.0,33.0,55.0,78.0,77.0,77.0,53.0,76.0,45.0,50.0,55.0,61.0,48.0,30.0,18.0,55.0,53.0,56.0,15.0,18.0,16.0,14.0,7.0,12.0,14.0,11.0,mid
